epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6057,2.14391,2.41642,1.38089,0.15684,0.58637,0.31654,0.1421,1.99454,2.57963,1.18867,0.000653061,0.000653061,0.000653061
2,179.039,2.04981,1.22068,1.27045,0.77036,0.62959,0.6905,0.31187,1.92407,1.10103,1.20931,0.00130666,0.00130666,0.00130666
3,265.634,1.97661,1.12807,1.26786,0.82559,0.6501,0.71764,0.35105,1.83206,0.98817,1.17099,0.00194706,0.00194706,0.00194706
4,348.864,1.95996,1.12088,1.27747,0.84624,0.63165,0.70395,0.34258,1.8666,0.98537,1.19637,0.0019406,0.0019406,0.0019406
5,431.73,1.93137,1.10685,1.25724,0.86307,0.6725,0.74125,0.3647,1.82103,0.91785,1.17187,0.0019208,0.0019208,0.0019208
6,513.76,1.93166,1.10411,1.25559,0.87078,0.65378,0.75448,0.42724,1.56497,0.91943,1.08323,0.001901,0.001901,0.001901
7,598.254,1.87819,1.07897,1.24828,0.88122,0.66572,0.76571,0.39272,1.74452,0.92331,1.16955,0.0018812,0.0018812,0.0018812
8,682.303,1.84848,1.05348,1.23108,0.90843,0.65728,0.74539,0.35645,1.85282,0.89728,1.16733,0.0018614,0.0018614,0.0018614
9,767.07,1.85939,1.04845,1.23264,0.87857,0.68368,0.77051,0.38779,1.78619,0.86853,1.14166,0.0018416,0.0018416,0.0018416
10,848.251,1.84221,1.02324,1.21941,0.87656,0.65862,0.74061,0.36251,1.8859,0.89985,1.17639,0.0018218,0.0018218,0.0018218
11,932.115,1.83208,1.02979,1.22332,0.86979,0.66914,0.73641,0.34343,1.90143,0.96236,1.16806,0.001802,0.001802,0.001802
12,1017.16,1.82749,1.00807,1.21155,0.91133,0.67029,0.7667,0.31192,2.13889,0.90804,1.27406,0.0017822,0.0017822,0.0017822
13,1098.25,1.84939,1.01599,1.2354,0.83364,0.65689,0.7155,0.32967,1.88021,0.9353,1.21028,0.0017624,0.0017624,0.0017624
14,1183.38,1.81261,1.02815,1.20487,0.89138,0.70043,0.7785,0.39703,1.70168,0.83974,1.10695,0.0017426,0.0017426,0.0017426
15,1267.04,1.7564,0.98339,1.20263,0.90502,0.67491,0.75739,0.33456,2.08526,0.8875,1.26905,0.0017228,0.0017228,0.0017228
16,1349.84,1.81692,0.99046,1.21753,0.92113,0.67992,0.77488,0.41635,1.67251,0.85571,1.11696,0.001703,0.001703,0.001703
17,1432.91,1.774,0.98803,1.2086,0.8672,0.69017,0.76877,0.42439,1.47065,0.8699,1.0706,0.0016832,0.0016832,0.0016832
18,1514.71,1.79721,0.97709,1.2099,0.86304,0.66746,0.76066,0.34851,1.93225,0.90768,1.22776,0.0016634,0.0016634,0.0016634
19,1600.81,1.75472,0.93291,1.17852,0.88705,0.70752,0.78437,0.44039,1.54703,0.81012,1.08534,0.0016436,0.0016436,0.0016436
20,1682.69,1.73928,0.95389,1.187,0.87113,0.68654,0.76156,0.38011,1.83241,0.84045,1.17557,0.0016238,0.0016238,0.0016238
21,1766.47,1.75476,0.94918,1.17828,0.91596,0.68777,0.77492,0.38577,1.77272,0.8224,1.16076,0.001604,0.001604,0.001604
22,1851.07,1.73135,0.91902,1.17164,0.86801,0.68181,0.76455,0.39003,1.71445,0.83201,1.13774,0.0015842,0.0015842,0.0015842
23,1934.01,1.71917,0.92383,1.16416,0.8713,0.67045,0.76231,0.38803,1.75384,0.8457,1.14352,0.0015644,0.0015644,0.0015644
24,2014.42,1.70613,0.93707,1.17698,0.91252,0.71582,0.79037,0.41679,1.70278,0.81606,1.12566,0.0015446,0.0015446,0.0015446
25,2096.29,1.67815,0.89663,1.15178,0.91109,0.69192,0.78195,0.39757,1.77491,0.80877,1.16172,0.0015248,0.0015248,0.0015248
26,2178.34,1.67527,0.89088,1.16564,0.91976,0.71715,0.79149,0.38211,1.8503,0.83517,1.18251,0.001505,0.001505,0.001505
27,2262.9,1.71264,0.90674,1.15877,0.87723,0.66054,0.73866,0.29265,2.19364,0.93036,1.31325,0.0014852,0.0014852,0.0014852
28,2344.54,1.679,0.91541,1.15249,0.89496,0.69743,0.77397,0.39921,1.71356,0.80203,1.13834,0.0014654,0.0014654,0.0014654
29,2426.32,1.65469,0.89665,1.14322,0.92496,0.71462,0.78995,0.40735,1.70149,0.83136,1.12263,0.0014456,0.0014456,0.0014456
30,2508.19,1.66828,0.88113,1.15424,0.91706,0.69538,0.7769,0.35889,1.93567,0.8147,1.22054,0.0014258,0.0014258,0.0014258
31,2590.17,1.66306,0.89477,1.15388,0.89942,0.68181,0.77416,0.3562,1.88217,0.87579,1.19357,0.001406,0.001406,0.001406
32,2669.7,1.6513,0.88142,1.14422,0.93437,0.72091,0.80392,0.43333,1.66224,0.74564,1.10509,0.0013862,0.0013862,0.0013862
33,2752.36,1.65011,0.87628,1.13814,0.92916,0.70768,0.79104,0.35612,1.99302,0.78656,1.2242,0.0013664,0.0013664,0.0013664
34,2836.04,1.64374,0.85501,1.1443,0.9153,0.72567,0.79566,0.3983,1.7631,0.79483,1.15815,0.0013466,0.0013466,0.0013466
35,2918.64,1.65964,0.90136,1.15536,0.88041,0.67219,0.74312,0.3257,1.96978,0.88809,1.24022,0.0013268,0.0013268,0.0013268
36,2998.98,1.65297,0.87361,1.15311,0.92183,0.69932,0.78068,0.36614,1.88312,0.84517,1.18616,0.001307,0.001307,0.001307
37,3082.75,1.62749,0.85872,1.1303,0.92076,0.71667,0.79552,0.38347,1.84664,0.7774,1.17892,0.0012872,0.0012872,0.0012872
38,3166.74,1.62995,0.85893,1.1344,0.91815,0.72298,0.78613,0.39034,1.85198,0.79108,1.17922,0.0012674,0.0012674,0.0012674
39,3249.38,1.6186,0.84622,1.1355,0.93335,0.68986,0.7845,0.39848,1.77345,0.76969,1.15693,0.0012476,0.0012476,0.0012476
40,3331.91,1.63048,0.87139,1.13902,0.89328,0.6536,0.74081,0.31649,2.04373,0.88371,1.26774,0.0012278,0.0012278,0.0012278
41,3413.51,1.61884,0.8534,1.13558,0.91574,0.71661,0.79697,0.41581,1.71288,0.77844,1.12855,0.001208,0.001208,0.001208
42,3497.33,1.59359,0.83768,1.125,0.909,0.70248,0.77396,0.36572,1.9032,0.82198,1.20799,0.0011882,0.0011882,0.0011882
43,3579.53,1.59617,0.84017,1.11767,0.91638,0.69328,0.77892,0.34464,2.06107,0.80193,1.29008,0.0011684,0.0011684,0.0011684
44,3664.31,1.60441,0.84546,1.1276,0.92426,0.68954,0.77882,0.37587,1.90666,0.80597,1.20426,0.0011486,0.0011486,0.0011486
45,3745.59,1.59628,0.84742,1.12426,0.92479,0.70358,0.78883,0.3965,1.80432,0.80636,1.16542,0.0011288,0.0011288,0.0011288
46,3829,1.57456,0.81,1.11527,0.91907,0.7192,0.79769,0.40084,1.75348,0.78007,1.16284,0.001109,0.001109,0.001109
47,3912.09,1.59286,0.8461,1.12011,0.91273,0.6949,0.78273,0.35818,1.90079,0.83488,1.20092,0.0010892,0.0010892,0.0010892
48,3992.39,1.57234,0.82843,1.11895,0.90981,0.66036,0.75327,0.30044,2.17022,0.84245,1.31968,0.0010694,0.0010694,0.0010694
49,4073.37,1.59451,0.82071,1.11544,0.92694,0.68418,0.77704,0.35551,1.9362,0.82107,1.21121,0.0010496,0.0010496,0.0010496
